cik,gvkey,coname,FFI,filing_date,virus_sc_R,virus_sent_wc_R,virus_kw_freq_R,virus_sc,virus_sent_wc,virus_kw_freq
68709,6900,"MTS SYSTEMS CORP","Measuring and Control Equity",03feb2020,0,0,0,0,0,0
1069899,20115,"PHIBRO ANIMAL HEALTH CORP","Pharmaceutical Products",03feb2020,1.530612,1.18007,.0874126,3,54,4
69633,7685,"NAPCO SECURITY TECHNOLOGIES, INC","Electronic Equipment",03feb2020,0,0,0,0,0,0
1596783,20228,"Catalent, Inc","Pharmaceutical Products",03feb2020,0,0,0,0,0,0
1002590,61735,"STAR GROUP, L P","Retail",03feb2020,.5847953,.397878,.0165782,1,24,1
876523,24430,"EZCORP INC","Retail",03feb2020,0,0,0,0,0,0
1101396,137432,"DELTA APPAREL, INC","Apparel",03feb2020,1.503759,.5899705,.0536337,2,22,2
16099,6831,"LUBYS INC","Restaurants, Hotel, Mc'el",03feb2020,1.95122,2.310397,.08371,4,138,5
102037,11017,"UNIVERSAL CORP VA","Wholesale",04feb2020,0,0,0,0,0,0
350868,8087,"ITERIS, INC","Business Services",04feb2020,0,0,0,0,0,0
927653,7171,"MCKESSON CORP","Wholesale",04feb2020,2.109705,2.196874,.0844951,5,156,6
1005229,62221,"COLUMBUS MCKINNON CORP","Machinery",04feb2020,0,0,0,0,0,0
1744489,3980,"Walt Disney Co","Telecommunications",04feb2020,.7462686,.7058485,.0432152,2,49,3
21076,3121,"CLOROX CO DE","Consumer Goods",04feb2020,1.183432,.8528785,.0426439,2,40,2
730464,3905,"Adtalem Global Education Inc","Personal Services",04feb2020,.6006006,.4732997,.0205782,2,46,2
310354,10008,"STANDEX INTERNATIONAL CORP DE","Machinery",04feb2020,1.298701,6.085863,.0471772,3,387,3
57515,6573,"LANCASTER COLONY CORP","Food",04feb2020,2.272727,2.070646,.091352,3,68,3
313143,24021,"HAEMONETICS CORP","Medical Equipment",04feb2020,0,0,0,0,0,0
1610250,21898,"Boot Barn Holdings, Inc","Retail",04feb2020,.9302326,1.371101,.0301341,2,91,2
918965,29910,"SCANSOURCE, INC","Wholesale",04feb2020,0,0,0,0,0,0
1633978,23249,"Lumentum Holdings Inc","Computers",04feb2020,0,0,0,0,0,0
1304492,20961,"Anterix Inc","Telecommunications",04feb2020,0,0,0,0,0,0
55242,6386,"KENNAMETAL INC","Machinery",04feb2020,1.67364,1.121657,.0575209,4,78,4
1584509,186858,"Aramark","Restaurants, Hotel, Mc'el",04feb2020,0,0,0,0,0,0
1608249,21433,"Zayo Group Holdings, Inc","Telecommunications",04feb2020,0,0,0,0,0,0
52988,6216,"JACOBS ENGINEERING GROUP INC DE","Construction",04feb2020,0,0,0,0,0,0
827054,27965,"MICROCHIP TECHNOLOGY INC","Electronic Equipment",04feb2020,.2923976,.3600453,.010287,1,35,1
1124941,160598,"BEACON ROOFING SUPPLY INC","Wholesale",04feb2020,0,0,0,0,0,0
1408710,179583,"Fabrinet","Electronic Equipment",04feb2020,4.329004,3.580563,.1654882,10,238,11
1089143,125975,"COLLECTORS UNIVERSE INC","Business Services",04feb2020,.462963,.3764278,.0519211,1,29,4
918646,30032,"EAGLE MATERIALS INC","Construction Materials",04feb2020,0,0,0,0,0,0
1666138,27014,"Atkore International Group Inc","Electrical Equipment",04feb2020,1.801802,1.493961,.0635728,2,47,2
1324948,164557,"RBC Bearings INC","Machinery",04feb2020,.4329004,8.723022,.014988,1,582,1
1048268,66371,"IES Holdings, Inc","Construction",04feb2020,0,0,0,0,0,0
1624794,24601,"CSW INDUSTRIALS, INC","Chemicals",04feb2020,0,0,0,0,0,0
896156,23252,"ETHAN ALLEN INTERIORS INC","Consumer Goods",04feb2020,.4761905,5.632639,.049554,1,341,3
99302,10685,"TRANSCAT INC","Wholesale",05feb2020,.671141,3.387877,.0230468,1,147,1
26076,3639,"CUBIC CORP DE","Computers",05feb2020,.5076142,.2903226,.0322581,1,18,2
55772,6433,"KIMBALL INTERNATIONAL INC","Business Supplies",05feb2020,.591716,1.725226,.0210393,1,82,1
21510,3157,"COHERENT INC","Measuring and Control Equity",05feb2020,1.477833,2.072617,.0605144,3,137,4
67347,7486,"MODINE MANUFACTURING CO","Automobiles and Trucks",05feb2020,2.312139,3.812825,.1155401,4,198,6
1289308,160893,"EnerSys","Miscellaneous",05feb2020,1.960784,2.011542,.0659522,4,122,4
1591698,19730,"Paylocity Holding Corp","Business Services",05feb2020,0,0,0,0,0,0
1024305,12151,"COTY INC","Consumer Goods",05feb2020,3.896104,7.085133,.1672008,18,1017,24
49728,5831,"IEC ELECTRONICS CORP","Electronic Equipment",05feb2020,0,0,0,0,0,0
1618673,28787,"Performance Food Group Co","Wholesale",05feb2020,0,0,0,0,0,0
319201,6304,"KLA CORP","Measuring and Control Equity",05feb2020,0,0,0,0,0,0
1638290,24911,"MasterCraft Boat Holdings, Inc","Shipbuilding, Railroad Eq",05feb2020,.7092199,.8660091,.0240558,1,36,1
1411688,18842,"Container Store Group, Inc","Retail",05feb2020,2.016129,9.919864,.0849927,5,817,7
1632790,23083,"ENERGIZER HOLDINGS, INC","Miscellaneous",05feb2020,.990099,1.151988,.0371609,2,62,2
96021,10247,"SYSCO CORP","Wholesale",05feb2020,3.416149,3.700139,.1283285,11,346,12
733269,2536,"LiveRamp Holdings, Inc","Business Services",05feb2020,0,0,0,0,0,0
1273636,19967,"APPLIED GENETIC TECHNOLOGIES CORP","Pharmaceutical Products",05feb2020,2.614379,3.325312,.0875082,4,152,4
4457,1393,"AMERCO NV","Business Services",05feb2020,0,0,0,0,0,0
1118417,17553,"MODEL N, INC","Business Services",05feb2020,0,0,0,0,0,0
315131,19433,"PANHANDLE OIL & GAS INC","Petroleum and Natural Gas",05feb2020,0,0,0,0,0,0
80420,8699,"POWELL INDUSTRIES INC","Electrical Equipment",05feb2020,0,0,0,0,0,0
880807,24795,"AMERICAN SUPERCONDUCTOR CORP DE","Electrical Equipment",05feb2020,0,0,0,0,0,0
46765,5581,"Helmerich & Payne, Inc","Petroleum and Natural Gas",05feb2020,0,0,0,0,0,0
880432,24890,"MISONIX INC","Medical Equipment",05feb2020,0,0,0,0,0,0
88948,8582,"Seneca Foods Corp","Food",05feb2020,0,0,0,0,0,0
1023731,65021,"8X8 INC DE","Telecommunications",05feb2020,.7936508,.9234828,.0263852,1,35,1
1137789,150937,"Seagate Technology plc","Computers",05feb2020,.8928571,.6770099,.0282087,1,24,1
879407,28806,"ARROWHEAD PHARMACEUTICALS, INC","Pharmaceutical Products",05feb2020,3.783784,3.666194,.1620417,7,181,8
785557,12304,"DLH Holdings Corp","Healthcare",05feb2020,.9708738,1.681901,.0365631,1,46,1
804328,24800,"QUALCOMM INC DE","Electronic Equipment",05feb2020,2.380952,2.944112,.1406278,15,649,31
1350593,166482,"Mueller Water Products, Inc","Construction Materials",05feb2020,0,0,0,0,0,0
878726,11944,"TUESDAY MORNING CORP DE","Retail",05feb2020,1.764706,1.628521,.0660211,3,74,3
1530721,198058,"Capri Holdings Ltd","Apparel",05feb2020,3.937008,6.329974,.1698562,10,559,15
868857,147988,"AECOM","Business Services",05feb2020,.5050505,5.103011,.0158479,1,322,1
1596993,317264,"DORIAN LPG LTD","Transportation",05feb2020,0,0,0,0,0,0
1448056,22182,"NEW RELIC, INC","Business Services",05feb2020,0,0,0,0,0,0
788920,12458,"PRO DEX INC","Medical Equipment",06feb2020,0,0,0,0,0,0
912093,29241,"VIAVI SOLUTIONS INC","Computers",06feb2020,0,0,0,0,0,0
1606757,20692,"Kimball Electronics, Inc","Electronic Equipment",06feb2020,.9852217,1.362489,.0504626,2,81,3
1417398,179657,"Hillenbrand, Inc","Machinery",06feb2020,0,0,0,0,0,0
817720,142814,"SYNAPTICS Inc","Electronic Equipment",06feb2020,0,0,0,0,0,0
1604028,20126,"ADVANCED DRAINAGE SYSTEMS, INC","Rubber and Plastic Products",06feb2020,0,0,0,0,0,0
1180145,179413,"Cardiovascular Systems Inc","Medical Equipment",06feb2020,3.97351,9.964553,.1378496,6,506,7
887730,25848,"KEMET CORP","Electronic Equipment",06feb2020,.2801121,4.560984,.0170823,1,534,2
910406,29609,"HAIN CELESTIAL GROUP INC","Food",06feb2020,.41841,.351964,.0140786,1,25,1
929351,28378,"LIONS GATE ENTERTAINMENT CORP CN","Entertainment",06feb2020,0,0,0,0,0,0
1235468,166213,"LIQUIDITY SERVICES INC","Retail",06feb2020,0,0,0,0,0,0
16040,2593,"CABOT CORP","Chemicals",06feb2020,2.453988,6.583243,.1088139,4,363,6
720500,8864,"AMTECH SYSTEMS INC","Machinery",06feb2020,0,0,0,0,0,0
100493,10793,"TYSON FOODS, INC","Food",06feb2020,3.571429,16.43296,.2214022,5,668,9
50493,12972,"INGLES MARKETS INC","Retail",06feb2020,0,0,0,0,0,0
1489096,186360,"Thermon Group Holdings, Inc","Miscellaneous",06feb2020,.4132231,4.502892,.0137703,1,327,1
933974,31477,"Brooks Automation, Inc","Machinery",06feb2020,0,0,0,0,0,0
1005210,62501,"SUBURBAN PROPANE PARTNERS LP","Retail",06feb2020,0,0,0,0,0,0
