cik,gvkey,coname,FFI,filing_date,virus_sc_R,virus_sent_wc_R,virus_kw_freq_R,virus_sc,virus_sent_wc,virus_kw_freq
1596783,20228,"Catalent, Inc","Pharmaceutical Products",03feb2020,.204499,.1675603,.0067024,1,25,1
1069899,20115,"PHIBRO ANIMAL HEALTH CORP","Pharmaceutical Products",03feb2020,1.95122,1.985925,.0867637,8,206,9
16099,6831,"LUBYS INC","Restaurants, Hotel, Mc'el",03feb2020,.7029877,.883087,.0319959,4,138,5
68709,6900,"MTS SYSTEMS CORP","Measuring and Control Equity",03feb2020,0,0,0,0,0,0
876523,24430,"EZCORP INC","Retail",03feb2020,0,0,0,0,0,0
1101396,137432,"DELTA APPAREL, INC","Apparel",03feb2020,.5633803,.2208835,.0200803,2,22,2
1002590,61735,"STAR GROUP, L P","Retail",03feb2020,.2252252,.170697,.0071124,1,24,1
69633,7685,"NAPCO SECURITY TECHNOLOGIES, INC","Electronic Equipment",03feb2020,0,0,0,0,0,0
918646,30032,"EAGLE MATERIALS INC","Construction Materials",04feb2020,.6675568,.6896896,.0249888,5,138,5
55242,6386,"KENNAMETAL INC","Machinery",04feb2020,1.339286,.8668303,.0460264,6,113,6
1608249,21433,"Zayo Group Holdings, Inc","Telecommunications",04feb2020,.1262626,.2182845,.0042801,1,51,1
52988,6216,"JACOBS ENGINEERING GROUP INC DE","Construction",04feb2020,.152207,.1565498,.00505,1,31,1
730464,3905,"Adtalem Global Education Inc","Personal Services",04feb2020,.5494506,.5243108,.0204809,5,128,5
1666138,27014,"Atkore International Group Inc","Electrical Equipment",04feb2020,.6369427,.5407271,.0230097,2,47,2
21076,3121,"CLOROX CO DE","Consumer Goods",04feb2020,.621118,.4350663,.0217533,2,40,2
57515,6573,"LANCASTER COLONY CORP","Food",04feb2020,1.060071,.9586917,.0422952,3,68,3
313143,24021,"HAEMONETICS CORP","Medical Equipment",04feb2020,.2212389,.0855565,.0077779,1,11,1
1089143,125975,"COLLECTORS UNIVERSE INC","Business Services",04feb2020,1.442308,1.312297,.1253318,6,178,17
1744489,3980,"Walt Disney Co","Telecommunications",04feb2020,.8237233,1.527195,.043813,5,244,7
1124941,160598,"BEACON ROOFING SUPPLY INC","Wholesale",04feb2020,0,0,0,0,0,0
310354,10008,"STANDEX INTERNATIONAL CORP DE","Machinery",04feb2020,.8196721,3.20818,.0312232,4,411,4
1048268,66371,"IES Holdings, Inc","Construction",04feb2020,.5050505,.3551266,.0273174,2,39,3
1005229,62221,"COLUMBUS MCKINNON CORP","Machinery",04feb2020,.676819,.7559132,.0243843,4,124,4
350868,8087,"ITERIS, INC","Business Services",04feb2020,1.129943,1.057402,.0438554,8,217,9
1610250,21898,"Boot Barn Holdings, Inc","Retail",04feb2020,.5555556,.9456563,.0441306,3,150,7
102037,11017,"UNIVERSAL CORP VA","Wholesale",04feb2020,0,0,0,0,0,0
827054,27965,"MICROCHIP TECHNOLOGY INC","Electronic Equipment",04feb2020,2.211302,2.628338,.1119633,27,939,40
1633978,23249,"Lumentum Holdings Inc","Computers",04feb2020,1.441441,1.510067,.0689118,16,504,23
918965,29910,"SCANSOURCE, INC","Wholesale",04feb2020,0,0,0,0,0,0
927653,7171,"MCKESSON CORP","Wholesale",04feb2020,1.165803,1.398782,.0474895,9,324,11
1324948,164557,"RBC Bearings INC","Machinery",04feb2020,.2227172,4.578351,.0078666,1,582,1
1304492,20961,"Anterix Inc","Telecommunications",04feb2020,.1788909,.2755158,.0061226,1,45,1
1408710,179583,"Fabrinet","Electronic Equipment",04feb2020,3.490566,3.271486,.1419446,37,968,42
1584509,186858,"Aramark","Restaurants, Hotel, Mc'el",04feb2020,.2444988,4.379278,.0466708,1,563,6
896156,23252,"ETHAN ALLEN INTERIORS INC","Consumer Goods",04feb2020,.2114165,2.747873,.0376421,1,365,5
1624794,24601,"CSW INDUSTRIALS, INC","Chemicals",04feb2020,0,0,0,0,0,0
1023731,65021,"8X8 INC DE","Telecommunications",05feb2020,.5063291,.6593407,.0263736,2,75,3
1530721,198058,"Capri Holdings Ltd","Apparel",05feb2020,2.964118,4.59916,.1806464,19,942,37
26076,3639,"CUBIC CORP DE","Computers",05feb2020,.1552795,.0973236,.0108137,1,18,2
88948,8582,"Seneca Foods Corp","Food",05feb2020,.4098361,.3306045,.0157431,1,21,1
879407,28806,"ARROWHEAD PHARMACEUTICALS, INC","Pharmaceutical Products",05feb2020,3.589744,3.423168,.1513002,14,362,16
719733,6416,"KEY TRONIC CORP","Electronic Equipment",05feb2020,1.107011,.9674522,.055283,6,140,8
21510,3157,"COHERENT INC","Measuring and Control Equity",05feb2020,2.03252,2.146369,.0830852,20,620,24
32604,4321,"EMERSON ELECTRIC CO","Measuring and Control Equity",05feb2020,.6329114,.2751376,.0250125,1,11,1
55772,6433,"KIMBALL INTERNATIONAL INC","Business Supplies",05feb2020,.2155172,.6863073,.0083696,1,82,1
1350593,166482,"Mueller Water Products, Inc","Construction Materials",05feb2020,1.66113,2.00538,.1222793,5,164,10
99302,10685,"TRANSCAT INC","Wholesale",05feb2020,.3115265,1.664591,.0113237,1,147,1
804328,24800,"QUALCOMM INC DE","Electronic Equipment",05feb2020,1.75644,2.218652,.1059757,15,649,31
1118417,17553,"MODEL N, INC","Business Services",05feb2020,.4689332,.5292974,.0248108,4,128,6
880432,24890,"MISONIX INC","Medical Equipment",05feb2020,0,0,0,0,0,0
96021,10247,"SYSCO CORP","Wholesale",05feb2020,2.787457,2.970051,.1118429,16,478,18
80420,8699,"POWELL INDUSTRIES INC","Electrical Equipment",05feb2020,0,0,.0216427,0,0,2
1289308,160893,"EnerSys","Miscellaneous",05feb2020,1.84874,1.934943,.1078296,11,323,18
315131,19433,"PANHANDLE OIL & GAS INC","Petroleum and Natural Gas",05feb2020,0,0,0,0,0,0
49728,5831,"IEC ELECTRONICS CORP","Electronic Equipment",05feb2020,0,0,0,0,0,0
1411688,18842,"Container Store Group, Inc","Retail",05feb2020,1.431981,6.502812,.0847523,6,844,11
785557,12304,"DLH Holdings Corp","Healthcare",05feb2020,.6024097,.9195402,.0344828,2,80,3
319201,6304,"KLA CORP","Measuring and Control Equity",05feb2020,1.285347,1.793846,.0524355,15,650,19
1137789,150937,"Seagate Technology plc","Computers",05feb2020,.4597701,.2602934,.0157754,2,33,2
1638290,24911,"MasterCraft Boat Holdings, Inc","Shipbuilding, Railroad Eq",05feb2020,1.016949,1.575367,.0835422,3,132,7
1024305,12151,"COTY INC","Consumer Goods",05feb2020,2.171291,4.053569,.0956594,18,1017,24
4457,1393,"AMERCO NV","Business Services",05feb2020,0,0,0,0,0,0
1618673,28787,"Performance Food Group Co","Wholesale",05feb2020,.4048583,.1910283,.0131744,2,29,2
868857,147988,"AECOM","Business Services",05feb2020,2.918919,4.441141,.1196389,27,1225,33
67347,7486,"MODINE MANUFACTURING CO","Automobiles and Trucks",05feb2020,1.069519,1.834352,.0555864,4,198,6
878726,11944,"TUESDAY MORNING CORP DE","Retail",05feb2020,1.253919,1.010101,.0459137,4,88,4
1448056,22182,"NEW RELIC, INC","Business Services",05feb2020,1.045627,1.29317,.0370359,11,419,12
1632790,23083,"ENERGIZER HOLDINGS, INC","Miscellaneous",05feb2020,.4918033,.5424301,.018081,3,90,3
46765,5581,"Helmerich & Payne, Inc","Petroleum and Natural Gas",05feb2020,0,0,0,0,0,0
880807,24795,"AMERICAN SUPERCONDUCTOR CORP DE","Electrical Equipment",05feb2020,0,0,0,0,0,0
733269,2536,"LiveRamp Holdings, Inc","Business Services",05feb2020,0,0,0,0,0,0
1273636,19967,"APPLIED GENETIC TECHNOLOGIES CORP","Pharmaceutical Products",05feb2020,2.040816,2.528261,.0687443,9,331,9
1591698,19730,"Paylocity Holding Corp","Business Services",05feb2020,1.022727,1.231098,.0356266,9,311,9
1596993,317264,"DORIAN LPG LTD","Transportation",05feb2020,1.631702,2.382197,.0896124,7,319,12
3545,1266,"ALICO, INC","Agriculture",06feb2020,.2375297,2.969898,.0242111,1,368,3
10795,2111,"BECTON DICKINSON & CO","Medical Equipment",06feb2020,1.123595,1.616051,.0702631,5,207,9
929351,28378,"LIONS GATE ENTERTAINMENT CORP CN","Entertainment",06feb2020,0,0,0,0,0,0
1417398,179657,"Hillenbrand, Inc","Machinery",06feb2020,1.10935,1.939366,.1168293,7,332,20
866273,23195,"MATRIX SERVICE CO","Construction",06feb2020,0,0,0,0,0,0
1001115,65896,"GEOSPACE TECHNOLOGIES CORP","Measuring and Control Equity",06feb2020,1.078167,1.228864,.0983091,4,125,10
842023,15414,"BIO-TECHNE Corp","Pharmaceutical Products",06feb2020,0,0,0,0,0,0
1005210,62501,"SUBURBAN PROPANE PARTNERS LP","Retail",06feb2020,0,0,0,0,0,0
50493,12972,"INGLES MARKETS INC","Retail",06feb2020,0,0,0,0,0,0
1180145,179413,"Cardiovascular Systems Inc","Medical Equipment",06feb2020,2.877698,6.305587,.1026226,8,553,9
1032220,64901,"MAXIMUS, INC","Business Services",06feb2020,.5141388,.4163197,.031224,2,40,3
914025,8633,"PLANTRONICS INC CA","Electronic Equipment",06feb2020,.3072197,2.075048,.0101968,2,407,2
1037038,64891,"RALPH LAUREN CORP","Apparel",06feb2020,1.116071,1.214829,.0698178,10,348,20
57725,22632,"LANNETT CO INC","Pharmaceutical Products",06feb2020,.3861004,.3109424,.0823083,3,68,18
1616318,22653,"Vista Outdoor Inc","Defense",06feb2020,.2309469,.1163274,.0083091,1,14,1
817720,142814,"SYNAPTICS Inc","Electronic Equipment",06feb2020,0,0,0,0,0,0
1295947,162335,"Prestige Consumer Healthcare Inc","Wholesale",06feb2020,1.481481,1.704348,.0521739,6,196,6
1606757,20692,"Kimball Electronics, Inc","Electronic Equipment",06feb2020,1.229508,1.795841,.0654355,6,247,9
887733,25536,"CENTRAL GARDEN & PET CO","Wholesale",06feb2020,.2192982,.2413637,.0150852,1,32,2
1590976,19391,"MALIBU BOATS, INC","Shipbuilding, Railroad Eq",06feb2020,0,0,0,0,0,0
815094,13619,"ABIOMED INC","Medical Equipment",06feb2020,1.202749,4.304825,.0457352,7,753,8
721371,2751,"CARDINAL HEALTH INC","Wholesale",06feb2020,1.703578,2.735267,.0571037,10,479,10
1377789,176572,"AVIAT NETWORKS, INC","Electronic Equipment",06feb2020,0,0,0,0,0,0
1489096,186360,"Thermon Group Holdings, Inc","Miscellaneous",06feb2020,.1675042,1.86028,.0056889,1,327,1
46250,5530,"HAWKINS INC","Wholesale",06feb2020,0,0,0,0,0,0
1001250,61567,"ESTEE LAUDER COMPANIES INC","Consumer Goods",06feb2020,1.305057,2.097977,.0745474,8,394,14
933974,31477,"Brooks Automation, Inc","Machinery",06feb2020,.8784773,.6669698,.0606336,6,132,12
910406,29609,"HAIN CELESTIAL GROUP INC","Food",06feb2020,.3072197,1.849575,.0256174,2,361,5
887730,25848,"KEMET CORP","Electronic Equipment",06feb2020,.1234568,2.131396,.0079828,1,534,2
16040,2593,"CABOT CORP","Chemicals",06feb2020,1.054852,2.78196,.05019,5,388,7
1547459,11922,"Natural Grocers by Vitamin Cottage, Inc","Retail",06feb2020,0,0,0,0,0,0
100493,10793,"TYSON FOODS, INC","Food",06feb2020,.8250825,4.071975,.0525793,5,697,9
1262104,157865,"MEI Pharma, Inc","Pharmaceutical Products",06feb2020,.8179959,.8185539,.0303168,4,108,4
1235468,166213,"LIQUIDITY SERVICES INC","Retail",06feb2020,.7537689,1.428831,.0910084,3,157,10
1600033,27907,"e l f Beauty, Inc","Consumer Goods",06feb2020,3.947368,5.246472,.1817127,33,1357,47
744452,106126,"APPLIED DNA SCIENCES INC","Electronic Equipment",06feb2020,1.408451,1.062068,.0487187,5,109,5
720500,8864,"AMTECH SYSTEMS INC","Machinery",06feb2020,2.678571,3.029981,.1594727,9,285,15
788920,12458,"PRO DEX INC","Medical Equipment",06feb2020,0,0,0,0,0,0
763532,6527,"LSI INDUSTRIES INC","Electrical Equipment",06feb2020,2.12766,2.847245,.1515644,7,263,14
1644378,26545,"RMR GROUP INC","Business Services",06feb2020,0,0,0,0,0,0
912093,29241,"VIAVI SOLUTIONS INC","Computers",06feb2020,1.149425,1.331689,.1048089,7,216,17
1116132,140541,"TAPESTRY, INC","Apparel",06feb2020,2.587519,3.424761,.1515381,17,678,30
1604028,20126,"ADVANCED DRAINAGE SYSTEMS, INC","Rubber and Plastic Products",06feb2020,.4347826,.4124898,.0143892,3,86,3
889971,62217,"LIGHTPATH TECHNOLOGIES INC","Measuring and Control Equity",06feb2020,.2173913,.1814882,.0078908,1,23,1
1022408,63986,"EPLUS INC","Wholesale",06feb2020,.1552795,.2186344,.005606,1,39,1
1530950,170527,"Post Holdings, Inc","Food",07feb2020,2.495202,3.090617,.0927185,13,500,15
779152,11811,"HENRY JACK & ASSOCIATES INC","Computers",07feb2020,.2415459,.2661226,.0088708,1,30,1
794172,12433,"MERIDIAN BIOSCIENCE INC","Pharmaceutical Products",07feb2020,4.823151,7.453058,.2879853,15,647,25
899923,61399,"MYRIAD GENETICS INC","Pharmaceutical Products",07feb2020,.8086253,1.290437,.0707089,3,146,8
1688568,3336,"DXC Technology Co","Business Services",07feb2020,0,0,0,0,0,0
1015155,65850,"CHARLES & COLVARD LTD","Construction Materials",07feb2020,.4040404,.5584139,.0439202,2,89,7
849399,15855,"NortonLifeLock Inc","Business Services",07feb2020,1.969873,2.313139,.0786782,17,588,20
1117297,184263,"QUINSTREET, INC","Business Services",07feb2020,.8743169,1.155876,.0297331,8,311,8
783412,12568,"DAILY JOURNAL CORP","Business Services",07feb2020,0,0,0,0,0,0
866706,23224,"ESCO TECHNOLOGIES INC","Measuring and Control Equity",07feb2020,0,0,0,0,0,0
34563,4579,"FARMER BROTHERS CO","Food",07feb2020,0,0,0,0,0,0
946581,64630,"TAKE TWO INTERACTIVE SOFTWARE INC","Business Services",07feb2020,0,0,0,0,0,0
836690,135844,"INNOVATIVE SOLUTIONS & SUPPORT INC","Computers",07feb2020,0,0,0,0,0,0
1006655,62626,"EVOLUTION PETROLEUM CORP","Petroleum and Natural Gas",07feb2020,0,0,0,0,0,0
1207074,177871,"VIRTUSA CORP","Business Services",07feb2020,0,0,0,0,0,0
1375365,176567,"Super Micro Computer, Inc","Computers",07feb2020,1.382488,1.49471,.1552946,9,308,32
1511737,187462,"Ubiquiti Inc","Electronic Equipment",07feb2020,2.506964,2.625911,.1362053,27,829,43
1636519,24481,"Madison Square Garden Co","Entertainment",07feb2020,0,0,0,0,0,0
1002517,61685,"Nuance Communications, Inc","Business Services",07feb2020,0,0,0,0,0,0
1564708,18043,"NEWS CORP","Printing and Publishing",07feb2020,0,0,0,0,0,0
1261654,156633,"UNIVERSAL TECHNICAL INSTITUTE INC","Personal Services",07feb2020,1.089325,1.408681,.04095,5,172,5
1102934,133726,"CABOT MICROELECTRONICS CORP","Chemicals",07feb2020,1.803051,4.890032,.0642821,13,1065,14
918251,29930,"MOTORCAR PARTS AMERICA INC","Miscellaneous",10feb2020,0,0,0,0,0,0
